Institution,Category_Institution,Accreditation,DateEstablished,Region,Location,Province,Lecture,Student,Category_Total_Student,QS_WUR_Ranking_2024,QS_Asia_Ranking_2024,THE_WUR_Ranking_2024,Member_ASEAN_University_Network
Sekolah Tinggi Ilmu Ekonomi Dahani Dahanai Buntok,Sekolah,Baik,1/28/2002,11,Barito Selatan,Kalimantan Selatan,12,250,Extra Small,Unranked,Unranked,Unranked ,No
Politeknik Muara Teweh,Politeknik,Tidak Terakreditasi,7/8/2008,11,Barito Utara,Kalimantan Tengah,19,124,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Keperawatan Bethesda Serukam,Akademi,Baik,4/11/2001,11,Bengkayang,Kalimantan Barat,10,163,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Manajemen Bumi Sebalo Bengkayang,Akademi,Tidak Terakreditasi,7/31/2000,11,Bengkayang,Kalimantan Barat,9,174,Extra Small,Unranked,Unranked,Unranked ,No
Institut Shanti Bhuana,Institut,Baik Sekali,8/5/2020,11,Bengkayang,Kalimantan Barat,33,450,Extra Small,Unranked,Unranked,Unranked ,No
Universitas Muhammadiyah Berau,Universitas,Baik Sekali,10/26/2020,11,Berau,Kalimantan Timur,85,1727,Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Pertanian Berau,Sekolah,Baik,8/9/2004,11,Berau ,Kalimantan Timur,22,244,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Teknologi Bontang,Sekolah,Baik,4/17/2003,11,Bontang,Kalimantan Timur,18,561,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Teknologi Industri Bontang,Sekolah,Baik,9/19/2000,11,Bontang,Kalimantan Timur,14,122,Extra Small,Unranked,Unranked,Unranked ,No
Universitas Trunajaya Bontang,Universitas,Baik,10/10/1989,11,Bontang,Kalimantan Timur,60,481,Extra Small,Unranked,Unranked,Unranked ,No
Universitas Kaltara,Universitas,Tidak Terakreditasi,12/18/2008,11,Bulungan ,Kalimantan Utara,80,949,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Administrasi Amuntai,Sekolah,Baik,9/25/1998,11,Hulu Sungai Utara,Kalimantan Selatan,69,2458,Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Pertanian Amuntai,Sekolah,Baik,6/15/2004,11,Hulu Sungai Utara,Kalimantan Selatan,23,520,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Ekonomi Kuala Kapuas,Sekolah,Tidak Terakreditasi,1/22/1972,11,Kapuas,Kalimantan Tengah,5,315,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Manajemen Informatika dan Komputer Ketapang,Akademi,Baik,10/13/2005,11,Ketapang,Kalimantan Barat,5,139,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Tanjungpura,Sekolah,Tidak Terakreditasi,2/8/2021,11,Ketapang,Kalimantan Barat,7,16,Extra Small,Unranked,Unranked,Unranked ,No
Politeknik Kotabaru,Politeknik,Baik,1/11/2003,11,Kotabaru,Kalimantan Selatan,33,426,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Paris Barantai,Sekolah,Baik,8/20/2009,11,Kotabaru,Kalimantan Selatan,20,673,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Kesehatan Borneo Cendekia Medika,Sekolah,Baik,3/23/2015,11,Kotawaringin Barat,Kalimantan Tengah,31,299,Extra Small,Unranked,Unranked,Unranked ,No
Universitas Antakusuma,Universitas,Baik,3/28/2008,11,Kotawaringin Barat,Kalimantan Tengah,73,1860,Small,Unranked,Unranked,Unranked ,No
Politeknik Sampit,Politeknik,Baik,10/3/2019,11,Kotawaringin Timur,Kalimantan Tengah,20,162,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Ekonomi Sampit,Sekolah,Baik,2/15/1988,11,Kotawaringin Timur,Kalimantan Tengah,18,721,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Hukum Habaring Hurung Sampit,Sekolah,Tidak Terakreditasi,7/1/1986,11,Kotawaringin Timur,Kalimantan Tengah,16,292,Extra Small,Unranked,Unranked,Unranked ,No
Universitas Darwan Ali,Universitas,Baik,7/25/2008,11,Kotawaringin Timur,Kalimantan Tengah,65,725,Extra Small,Unranked,Unranked,Unranked ,No
Universitas Muhammadiyah Sampit,Universitas,Tidak Terakreditasi,1/10/2023,11,Kotawaringin Timur,Kalimantan Tengah,53,564,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Bahasa Harapan Bersama,Sekolah,Tidak Terakreditasi,7/13/2015,11,Kubu Raya,Kalimantan Barat,16,512,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Kesehatan Panca Bhakti,Sekolah,Tidak Terakreditasi,2/22/2023,11,Kubu Raya,Kalimantan Barat,14,171,Extra Small,Unranked,Unranked,Unranked ,No
Universitas Nahdlatul Ulama Kalimantan Barat,Universitas,Tidak Terakreditasi,10/17/2014,11,Kubu Raya,Kalimantan Barat,69,1721,Small,Unranked,Unranked,Unranked ,No
Akademi Kebidanan Kutai Husada,Akademi,Baik,6/6/2007,11,Kutai Kartanegara,Kalimantan Timur,2,0,Extra Small,Unranked,Unranked,Unranked ,No
Politeknik Sendawar,Politeknik,Tidak Terakreditasi,8/30/2005,11,Kutai Kartanegara,Kalimantan Timur,35,213,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Ekonomi Tenggarong,Sekolah,Baik,5/5/2004,11,Kutai Kartanegara,Kalimantan Timur,9,276,Extra Small,Unranked,Unranked,Unranked ,No
Universitas Kutai Kartanegara Tenggarong,Universitas,Baik Sekali,5/26/1984,11,Kutai Kartanegara,Kalimantan Timur,119,2866,Small,Unranked,Unranked,Unranked ,No
Politeknik Lamandau,Politeknik,Baik,5/28/2018,11,Lamandau,Kalimantan Tengah,19,146,Extra Small,Unranked,Unranked,Unranked ,No
Universitas Katolik Santo Agustinus Hippo,Universitas,Baik,7/12/2022,11,Landak,Kalimantan Barat,72,1372,Small,Unranked,Unranked,Unranked ,No
Politeknik Malinau,Politeknik,Baik,1/25/2007,11,Malinau,Kalimantan Timur,51,986,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Melawi,Sekolah,Baik,10/1/2007,11,Melawi ,Kalimantan Barat,47,1006,Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Ekonomi Muara Teweh,Sekolah,Baik,12/18/1998,11,Muara Teweh,Kalimantan Tengah,22,369,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Kebidanan Murung Raya,Akademi,Coming Soon ,,11,Murung Raya,Kalimantan Tengah,0,0,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Kebidanan Betang Asi Raya,Akademi,Baik,10/3/2006,11,Palangka Raya,Kalimantan Tengah,6,66,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Ekonomi Palangka Raya,Sekolah,Baik,2/12/1986,11,Palangka Raya,Kalimantan Tengah,7,491,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Ekonomi YBPK Palangka Raya,Sekolah,Baik,3/9/2006,11,Palangka Raya,Kalimantan Tengah,11,118,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Hukum Tambun Bungai,Sekolah,Tidak Terakreditasi,6/19/1974,11,Palangka Raya,Kalimantan Tengah,15,599,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Kesehatan Eka Harap Palangka Raya,Sekolah,Baik,9/1/2009,11,Palangka Raya,Kalimantan Tengah,44,1170,Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Manajemen Informatika dan Komputer Palangka Raya,Sekolah,Baik,9/28/1995,11,Palangka Raya,Kalimantan Tengah,36,1038,Small,Unranked,Unranked,Unranked ,No
Universitas Kristen Palangka Raya,Universitas,Baik,5/18/1987,11,Palangka Raya,Kalimantan Tengah,42,614,Extra Small,Unranked,Unranked,Unranked ,No
Universitas Muhammadiyah Palangka Raya,Universitas,Baik Sekali,9/24/1987,11,Palangka Raya,Kalimantan Tengah,180,5972,Small Medium,Unranked,Unranked,Unranked ,No
Universitas PGRI Palangka Raya,Universitas,Tidak Terakreditasi,3/19/1990,11,Palangka Raya,Kalimantan Tengah,54,1478,Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Ekonomi Widya Praja,Sekolah,Baik,6/26/1998,11,Paser,Kalimantan Timur,17,685,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Keuangan dan Perbankan Grha Arta Khatulistiwa,Akademi,Baik,6/6/1992,11,Pontianak,Kalimantan Barat,10,149,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Manajemen Informatika dan Komputer Panca Bhakti,Akademi,Tidak Terakreditasi,9/9/2001,11,Pontianak,Kalimantan Barat,12,29,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Manajemen Perusahaan Panca Bhakti,Akademi,Tidak Terakreditasi,10/14/1979,11,Pontianak,Kalimantan Barat,9,261,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Perpajakan Panca Bhakti,Akademi,Tidak Terakreditasi,7/21/2000,11,Pontianak,Kalimantan Barat,9,101,Extra Small,Unranked,Unranked,Unranked ,No
Institut Bisnis dan Ekonomi Indonesia,Institut,Baik Sekali,6/22/2022,11,Pontianak,Kalimantan Barat,39,902,Extra Small,Unranked,Unranked,Unranked ,No
Institut Teknologi dan Kesehatan Muhammadiyah Kalimantan Barat,Institut,Baik Sekali,8/16/2022,11,Pontianak,Kalimantan Barat,48,856,Extra Small,Unranked,Unranked,Unranked ,No
Politeknik Aisyiyah Pontianak,Politeknik,Baik,5/20/2019,11,Pontianak,Kalimantan Barat,28,468,Extra Small,Unranked,Unranked,Unranked ,No
Politeknik Tonggak Equator,Politeknik,Baik Sekali,3/12/2002,11,Pontianak,Kalimantan Barat,33,735,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Bahasa Asing Pontianak,Sekolah,Baik,6/1/1994,11,Pontianak,Kalimantan Barat,14,242,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Ekonomi Boedi Oetomo,Sekolah,Baik,9/27/1986,11,Pontianak,Kalimantan Barat,10,581,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Pertanian Panca Bhakti,Sekolah,Tidak Terakreditasi,9/23/2002,11,Pontianak,Kalimantan Barat,5,0,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Manajemen Informatika dan Komputer Pontianak,Sekolah,Baik Sekali,2/3/1994,11,Pontianak,Kalimantan Barat,38,1190,Small,Unranked,Unranked,Unranked ,No
Universitas Muhammadiyah Pontianak,Universitas,Baik Sekali,8/19/1990,11,Pontianak,Kalimantan Barat,153,5013,Small Medium,Unranked,Unranked,Unranked ,No
Universitas OSO,Universitas,Tidak Terakreditasi,1/31/2020,11,Pontianak,Kalimantan Barat,16,231,Extra Small,Unranked,Unranked,Unranked ,No
Universitas Panca Bhakti,Universitas,Baik Sekali,7/16/1979,11,Pontianak,Kalimantan Barat,126,4256,Small,Unranked,Unranked,Unranked ,No
Universitas PGRI Pontianak,Universitas,Coming Soon ,,11,Pontianak,Kalimantan Barat,219,5589,Small Medium,Unranked,Unranked,Unranked ,No
Universitas Widya Dharma Pontianak,Universitas,Baik,8/26/2019,11,Pontianak,Kalimantan Barat,117,4817,Small,Unranked,Unranked,Unranked ,No
Universitas Yarsi Pontianak,Universitas,Coming Soon ,,11,Pontianak,Kalimantan Barat,45,986,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Bahasa Asing Colorado Samarinda,Akademi,Tidak Terakreditasi,9/1/1996,11,Samarinda,Kalimantan Timur,6,0,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Kebidanan Permata Husada Samarinda,Akademi,Tidak Terakreditasi,7/3/2007,11,Samarinda,Kalimantan Timur,9,25,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Keperawatan Yarsi Samarinda,Akademi,Tidak Terakreditasi,8/5/2004,11,Samarinda,Kalimantan Timur,7,0,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Komunitas Favorit Samarinda,Akademi,Tidak Terakreditasi,7/1/2017,11,Samarinda,Kalimantan Timur,4,0,Extra Small,Unranked,Unranked,Unranked ,No
Institut Keguruan dan Ilmu Pendidikan PGRI Kaltim,Institut,Baik Sekali,9/19/1979,11,Samarinda,Kalimantan Timur,50,1282,Small,Unranked,Unranked,Unranked ,No
Institut Teknologi Kesehatan dan Sains Wiyata Husada Samarinda,Institut,Baik Sekali,10/18/2019,11,Samarinda,Kalimantan Timur,58,1825,Small,Unranked,Unranked,Unranked ,No
Politeknik Sinar Mas Berau Coal,Politeknik,Baik,1/3/2018,11,Samarinda,Kalimantan Timur,21,218,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Ekonomi Nasional Samarinda,Sekolah,Baik,4/3/1998,11,Samarinda,Kalimantan Timur,12,428,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Ekonomi Samarinda,Sekolah,Tidak Terakreditasi,10/1/1992,11,Samarinda,Kalimantan Timur,7,202,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Hukum Awang Long,Sekolah,Baik Sekali,6/1/2016,11,Samarinda,Kalimantan Timur,24,572,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Kesehatan Borneo Nusantara,Sekolah,Baik,12/15/2022,11,Samarinda,Kalimantan Timur,29,160,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Kesehatan Dirgahayu Samarinda,Sekolah,Baik Sekali,11/20/2017,11,Samarinda,Kalimantan Timur,42,416,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Kesehatan Mutiara Mahakam Samarinda,Sekolah,Baik Sekali,8/23/2019,11,Samarinda,Kalimantan Timur,28,366,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Kesehatan Samarinda,Sekolah,Baik Sekali,12/31/2018,11,Samarinda,Kalimantan Timur,21,682,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Komunikasi Mahakam,Sekolah,Tidak Terakreditasi,4/12/1984,11,Samarinda,Kalimantan Timur,8,67,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Manajemen Indonesia Samarinda,Sekolah,Baik,5/2/1991,11,Samarinda,Kalimantan Timur,11,784,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Manajemen Informatika dan Komputer Samarinda,Sekolah,Tidak Terakreditasi,6/7/1989,11,Samarinda,Kalimantan Timur,5,0,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Manajemen Informatika Dan Komputer Widya Cipta Dharma,Sekolah,Baik Sekali,1/17/1995,11,Samarinda,Kalimantan Timur,31,1782,Small,Unranked,Unranked,Unranked ,No
Universitas 17 Agustus 1945 Samarinda,Universitas,Baik Sekali,12/27/1996,11,Samarinda,Kalimantan Timur,164,5040,Small Medium,Unranked,Unranked,Unranked ,No
Universitas Muhammadiyah Kalimantan Timur,Universitas,Baik Sekali,8/28/2017,11,Samarinda,Kalimantan Timur,230,8695,Small Medium,Unranked,Unranked,Unranked ,No
Universitas Nahdlatul Ulama Kalimantan Timur,Universitas,Baik,7/4/2014,11,Samarinda,Kalimantan Timur,84,1195,Small,Unranked,Unranked,Unranked ,No
Universitas Widya Gama Mahakam Samarinda,Universitas,Baik Sekali,5/5/1986,11,Samarinda,Kalimantan Timur,116,3905,Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Kesehatan Sambas,Sekolah,Baik,12/28/2018,11,Sambas,Kalimantan Barat,8,81,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Ekonomi Nusantara Sangatta,Sekolah,Baik,6/17/2009,11,Sangatta,Kalimantan Timur,25,1202,Small,Unranked,Unranked,Unranked ,No
Universitas Kudungga,Universitas,Coming Soon ,,11,Sangatta,Kalimantan Timur,52,866,Extra Small,Unranked,Unranked,Unranked ,No
Institut Teknologi Keling Kumang,Institut,Tidak Terakreditasi,8/5/2020,11,Sekadau,Kalimantan Barat,17,290,Extra Small,Unranked,Unranked,Unranked ,No
Politeknik Seruyan,Politeknik,Baik,10/3/2019,11,Seruyan,Kalimantan Tengah,29,248,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Gizi Sinka Dharma Madani Singkawang,Akademi,Tidak Terakreditasi,4/29/2014,11,Singkawang,Kalimantan Barat,6,9,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Kebidanan Singkawang,Akademi,Baik,10/27/2005,11,Singkawang,Kalimantan Barat,7,185,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Ekonomi Mulia Singkawang,Sekolah,Baik,10/27/2003,11,Singkawang,Kalimantan Barat,27,576,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Hukum Soelthan M Tsjafioeddin,Sekolah,Baik,3/24/1978,11,Singkawang,Kalimantan Barat,10,256,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Singkawang,Sekolah,Baik Sekali,4/26/2011,11,Singkawang,Kalimantan Barat,45,1104,Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Kesehatan Kapuas Raya,Sekolah,Baik,8/3/2009,11,Sintang,Kalimantan Barat,25,512,Extra Small,Unranked,Unranked,Unranked ,No
Universitas Kapuas Sintang,Universitas,Baik,6/8/1992,11,Sintang,Kalimantan Barat,74,2344,Small,Unranked,Unranked,Unranked ,No
Universitas Persada Khatulistiwa Sintang,Universitas,Coming Soon ,,11,Sintang,Kalimantan Barat,89,1848,Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Administrasi Tabalong,Sekolah,Baik,1/1/2005,11,Tabalong ,Kalimantan Selatan,45,1047,Small,Unranked,Unranked,Unranked ,No
Politeknik Batulicin,Politeknik,Tidak Terakreditasi,10/17/2014,11,Tanah Bumbu,Kalimantan Selatan,29,151,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Kesehatan Darul Azhar Batulicin,Sekolah,Baik,7/18/2008,11,Tanah Bumbu,Kalimantan Selatan,22,206,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Komunitas Peternakan Jorong,Akademi,Tidak Terakreditasi,6/15/2022,11,Tanah Laut,Kalimantan Selatan,6,0,Extra Small,Unranked,Unranked,Unranked ,No
Politeknik Islam Syekh Salman Al-Farisi Rantau,Politeknik,Tidak Terakreditasi,8/20/2009,11,Tapin ,Kalimantan Selatan,34,280,Extra Small,Unranked,Unranked,Unranked ,No
Politeknik Bisnis Kaltara,Politeknik,Tidak Terakreditasi,6/22/2018,11,Tarakan,Kalimantan Utara,19,111,Extra Small,Unranked,Unranked,Unranked ,No
Politeknik Kaltara,Politeknik,Baik,6/24/2020,11,Tarakan,Kalimantan Utara,24,351,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Ekonomi Bulungan Tarakan,Sekolah,Tidak Terakreditasi,10/15/1991,11,Tarakan,Kalimantan Utara,20,603,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Manajemen Informatika dan Komputer PPKIA Tarakanita Rahmawati Tarakan,Sekolah,Tidak Terakreditasi,7/18/2008,11,Tarakan,Kalimantan Utara,30,919,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Maritim Maluku,Akademi,Tidak Terakreditasi,6/6/1991,12,Ambon,Maluku,29,104,Extra Small,Unranked,Unranked,Unranked ,No
Institut Teknologi dan Bisnis Stikom Ambon,Institut,Baik,9/21/2020,12,Ambon,Maluku,42,1765,Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Administrasi Abdul Aziz Kataloka,Sekolah,Tidak Terakreditasi,9/26/2001,12,Ambon,Maluku,24,294,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Administrasi Trinitas Ambon,Sekolah,Tidak Terakreditasi,9/16/1982,12,Ambon,Maluku,17,188,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Kesehatan Pasapua Ambon,Sekolah,Baik,10/16/2009,12,Ambon,Maluku,27,122,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Kesehatan RS Prof. Dr. J.A. Latumeten,Sekolah,Tidak Terakreditasi,6/7/2022,12,Ambon,Maluku,18,296,Extra Small,Unranked,Unranked,Unranked ,No
Universitas Darussalam Ambon,Universitas,Baik Sekali,8/6/1986,12,Ambon,Maluku,128,1293,Small,Unranked,Unranked,Unranked ,No
Universitas Kristen Indonesia Maluku,Universitas,Baik Sekali,8/19/1985,12,Ambon,Maluku,187,5624,Small Medium,Unranked,Unranked,Unranked ,No
Universitas Muhammadiyah Maluku,Universitas,Tidak Terakreditasi,12/30/2020,12,Ambon,Maluku,30,133,Extra Small,Unranked,Unranked,Unranked ,No
Universitas Banda Naira,Universitas,Baik,7/13/2022,12,Banda,Maluku,40,401,Extra Small,Unranked,Unranked,Unranked ,No
Universitas Iqra Buru,Universitas,Baik,9/5/2003,12,Buru ,Maluku,111,1978,Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Pertanian Kewirausahaan Banau,Sekolah,Baik Sekali,3/12/2009,12,Halmahera Barat,Maluku Utara,22,867,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Kebidanan Nusantara Jaya,Akademi,Tidak Terakreditasi,1/12/2023,12,Halmahera Selatan,Maluku Utara,13,0,Extra Small,Unranked,Unranked,Unranked ,No
Universitas Nurul Hasan Bacan,Universitas,Tidak Terakreditasi,7/17/2023,12,Halmahera Selatan,Maluku Utara,0,457,Extra Small,Unranked,Unranked,Unranked ,No
Politeknik Perdamaian Halmahera,Politeknik,Baik Sekali,8/19/2002,12,Halmahera Utara,Maluku Utara,33,206,Extra Small,Unranked,Unranked,Unranked ,No
Universitas Halmahera,Universitas,Baik Sekali,9/22/2008,12,Halmahera Utara,Maluku Utara,107,1986,Small,Unranked,Unranked,Unranked ,No
Universitas Hein Namotemo,Universitas,Baik,3/10/2016,12,Halmahera Utara,Maluku Utara,73,1087,Small,Unranked,Unranked,Unranked ,No
Akademi Kebidanan Aru,Akademi,Tidak Terakreditasi,3/17/2008,12,Kepulauan Aru,Maluku,4,0,Extra Small,Unranked,Unranked,Unranked ,No
Universitas Dr. Djar Wattiheluw,Universitas,Tidak Terakreditasi,8/16/2023,12,Maluku Tengah,Maluku,28,936,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Kesehatan Makariwo Halmahera,Sekolah,Baik,10/30/2007,12,Maluku Tengah,Maluku,53,457,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Gotong Royong Masohi,Sekolah,Baik,9/5/2003,12,Maluku Tengah,Maluku,30,1081,Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Sosial STIS Tual,Sekolah,Baik,11/28/2001,12,Maluku Tenggara,Maluku,20,374,Extra Small,Unranked,Unranked,Unranked ,No
Universitas Lelemuku Saumlaki,Universitas,Tidak Terakreditasi,6/8/2022,12,Maluku Tenggara Barat,Maluku,61,1643,Small,Unranked,Unranked,Unranked ,No
Universitas Pasifik Morotai,Universitas,Baik,1/10/2013,12,Morotai,Maluku Utara,93,1978,Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Kesehatan Maluku Husada,Sekolah,Baik Sekali,10/1/2009,12,Seram Bagian Barat,Maluku,80,3331,Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Seram Raya,Sekolah,Tidak Terakreditasi,1/17/2022,12,Seram Bagian Barat,Maluku,2,21,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Hunimua,Sekolah,Tidak Terakreditasi,2/9/2016,12,Seram Bagian Timur,Maluku,18,442,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Ita Wotu Nusa,Sekolah,Tidak Terakreditasi,7/18/2014,12,Seram Bagian Timur,Maluku,22,600,Extra Small,Unranked,Unranked,Unranked ,No
Institut Teknologi Sains Gamalama,Institut,Coming Soon ,,12,Ternate,Maluku Utara,26,264,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Kebidanan Wijaya Kusuma ,Akademi,Tidak Terakreditasi,2/3/2023,12,Ternate,Maluku Utara,9,0,Extra Small,Unranked,Unranked,Unranked ,No
Institut Sains dan Kependidikan Kie Raha ,Institut,Tidak Terakreditasi,6/16/2023,12,Ternate,Maluku Utara,102,1772,Small,Unranked,Unranked,Unranked ,No
Politeknik Sains dan Teknologi Wiratama,Politeknik,Tidak Terakreditasi,2/19/2004,12,Ternate,Maluku Utara,19,716,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Maritim Indonesia Ternate,Sekolah,Tidak Terakreditasi,9/23/2019,12,Ternate,Maluku Utara,5,78,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Teknik Atlas Nusantara,Sekolah,Tidak Terakreditasi,6/22/2023,12,Ternate,Maluku Utara,0,0,Extra Small,Unranked,Unranked,Unranked ,No
Universitas Muhammadiyah Maluku Utara,Universitas,Baik Sekali,6/5/2021,12,Ternate,Maluku Utara,236,6564,Small Medium,Unranked,Unranked,Unranked ,No
Universitas Nahdlatul Ulama Maluku Utara,Universitas,Tidak Terakreditasi,2/17/2022,12,Ternate,Maluku Utara,11,53,Extra Small,Unranked,Unranked,Unranked ,No
Akademi Kebidanan Gatra Buana Gurabati Tidore,Akademi,Baik,9/9/2008,12,Tidore,Maluku Utara,10,190,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Manajemen Informatika dan Komputer Tidore Mandiri,Sekolah,Baik,6/25/2002,12,Tidore,Maluku Utara,26,456,Extra Small,Unranked,Unranked,Unranked ,No
Universitas Nuku,Universitas,Baik,9/28/2001,12,Tidore,Maluku Utara,54,792,Extra Small,Unranked,Unranked,Unranked ,No
Universitas Bumi Hijrah Tidore,Universitas,Baik,4/9/2012,12,Tidore ,Maluku Utara,78,809,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Administrasi Darul Rachman Tual,Sekolah,Baik,8/30/2001,12,Tual,Maluku,15,514,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Administrasi Langgur,Sekolah,Baik,4/30/2001,12,Tual,Maluku,17,141,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Persada Evav Tual,Sekolah,Tidak Terakreditasi,4/26/2021,12,Tual,Maluku,7,297,Extra Small,Unranked,Unranked,Unranked ,No
Universitas Doktor Husni Ingratubun Tual,Universitas,Baik,6/10/2022,12,Tual,Maluku,44,1407,Small,Unranked,Unranked,Unranked ,No
Akademi Kebidanan Public Health Medical Nursing,Akademi,Tidak Terakreditasi,12/30/2005,13,Aceh Barat,Aceh,7,41,Extra Small,Unranked,Unranked,Unranked ,No
Sekolah Tinggi Ilmu Kesehatan Medika Seramoe Barat,Sekolah,Baik,5/22/2008,13,Aceh Barat,Aceh,27,725,Extra Small,Unranked,Unranked,Unranked ,No
